Date,Case / Controversy,State / Level,Headline,Source,People / Organisations,Category / Status,Report-ready status note,Article URL,Evidence classification
2016-12-15,AgustaWestland,National,Sonia Gandhi had no role in AgustaWestland scam: AK Antony,Indian Express,Sonia Gandhi; A K Antony,Political response / investigation,Former defence minister Antony defended Sonia Gandhi and said she had no role; investigation into the deal continued.,https://indianexpress.com/article/india/sonia-gandhi-had-no-role-in-agustawestland-scam-ak-antony-4428569/,Investigation / legal proceeding
2017-04-06,AJL Panchkula,Haryana,CBI files case against Bhupinder Singh Hooda in AJL land allotment probe,Indian Express,Bhupinder Singh Hooda; AJL,CBI case,CBI registered a case alleging irregularities in re-allotment; Hooda denied wrongdoing.,https://indianexpress.com/article/india/bhupinder-hooda-ajl-land-allotment-cbi-case-4601883/,Controversy / reporting
2017-06-02,Sand-mining,Punjab,"Sand Mines Auction: More Congress leaders made benami bids, alleges AAP",Indian Express,Rana Gurjit Singh; Congress leaders,Opposition allegation,AAP alleged proxy/benami bidding involving Congress leaders; allegations were politically contested.,https://indianexpress.com/article/cities/chandigarh/punjab-sand-mines-auction-more-congress-leaders-made-benami-bids-alleges-aap-4685154/,Allegation / political claim
2017-06-16,Sand-mining / finance,Punjab,Firms that loaned Punjab minister Rs 98 crore showed no business activity,Indian Express,Rana Gurjit Singh,Conflict-of-interest / sand-auction controversy,Article examined loans to the minister and companies linked to a disputed sand-mining auction.,https://indianexpress.com/article/india/firms-that-loaned-punjab-minister-rana-gurjit-singh-rs-98-crore-showed-no-business-activity-4706545/lite/,Controversy / reporting
2017-07-20,AJL Panchkula,Haryana,Plot to AJL reallotted illegally by Bhupinder Singh Hooda: ED to High Court,Indian Express,Bhupinder Singh Hooda; AJL,ED allegation,ED alleged misuse of official position and loss to the exchequer.,https://indianexpress.com/article/india/bhupinder-singh-hooda-misused-official-position-associated-journals-limited-4757727/,Allegation / political claim
2017-12-21,2G spectrum,National,"2G spectrum case verdict: All acquitted, CBI indicted",Indian Express,A Raja; Kanimozhi; UPA-era telecom policy,Acquittal / legacy controversy,Special CBI court acquitted all accused; the case had nevertheless been a major political corruption issue during the UPA era.,https://indianexpress.com/article/india/2g-spectrum-case-verdict-a-raja-kanimozhi-all-acquitted-cbi-indicted-manmohan-singh-cag-vinod-rai-4993717/,Court/agency outcome favourable to accused
2017-12-21,2G spectrum,National,"2G scam verdict: Allegations of corruption against UPA were never true, says Chidambaram",Indian Express,P Chidambaram; UPA,Political response after acquittal,Chidambaram argued the verdict disproved the corruption allegations; the original political controversy remained a major UPA-era issue.,https://indianexpress.com/article/india/2g-scam-verdict-a-raja-kanimozhi-upa-congress-cbi-court-4992463/,Court/agency outcome favourable to accused
2017-12-27,2G spectrum,National,Conspiracy of circumstances,Indian Express,UPA / Congress,Political analysis,Opinion piece discussing how the 2G controversy affected Congress despite the trial-court acquittals.,https://indianexpress.com/article/opinion/columns/2g-spectrum-verdict-congress-a-raja-cbi-conspiracy-of-circumstances-5000142/,Controversy / reporting
2017-12-30,Irrigation / sand,Punjab,Two scams in Punjab linked by a Rs 5-crore money transfer,Indian Express,Rana Gurjit Singh-linked entities; contractors,Investigation / alleged irregularities,Documents cited an alleged Rs 5-crore transfer connected to parties involved in sand-mining and irrigation controversies.,https://indianexpress.com/article/india/two-scams-in-punjab-linked-by-a-rs-5-cr-money-transfer-5004427/,Investigation / legal proceeding
2018-02-21,INX Media,National,Explained: The decade-old case of INX Media,Indian Express,P Chidambaram; Karti Chidambaram; INX Media,Investigation / alleged FIPB irregularities,CBI/ED investigated alleged irregularities in approval of foreign investment into INX Media.,https://indianexpress.com/article/explained/karti-chidambaram-the-decade-old-case-of-inx-media-5082102/,Investigation / legal proceeding
2019-05-01,AJL Panchkula,Haryana,National Herald case: ED attaches plot in Panchkula for publisher,Indian Express,AJL; Bhupinder Singh Hooda,Asset attachment,"ED attached the Panchkula plot, alleging it represented proceeds of crime; Hooda called the case political vendetta.",https://indianexpress.com/article/india/national-herald-enforcement-directorate-ajl-5477179/,Investigation / legal proceeding
2019-08-21,INX Media,National,What is Chidambaram INX Media case,Indian Express,P Chidambaram; Karti Chidambaram,Arrest / investigation,CBI alleged irregularities in FIPB clearance for Rs 305 crore foreign investment; Chidambaram was arrested in 2019 and later obtained bail.,https://indianexpress.com/article/explained/chidambaram-inx-media-scam-case-explained-karti-5921402/,Investigation / legal proceeding
2019-11-27,Irrigation,Maharashtra,"Explained: Maharashtra’s irrigation scam, and how NCP leader Ajit Pawar figures in it",Indian Express,Ajit Pawar; Sunil Tatkare,Investigation / political controversy,ACB had closed nine open enquiries; article notes the Chitale committee's earlier findings and later CAG observations.,https://indianexpress.com/article/explained/maharashtras-irrigation-scam-ajit-pawar-sharad-pawar-anti-corruption-bureau-6138598/,Investigation / legal proceeding
2020-06-02,Liquor / governance,Punjab,Punjab BJP accuses Captain Amarinder government of corruption during crisis,Indian Express,Amarinder Singh government; Punjab ministers,Political allegation,"BJP alleged corruption and a liquor mafia; this was an opposition allegation, not a judicial finding.",https://indianexpress.com/article/cities/chandigarh/punjab-bjp-captain-amarinder-government-corruption-6439452/,Allegation / political claim
2020-07-19,Phone tapping,Rajasthan,Audio tapes: MHA seeks report as BJP calls for CBI probe into ‘phone tapping’,Indian Express,Ashok Gehlot government; BJP; Congress MLAs,Political controversy,Centre sought a report amid allegations around phone interception during the Congress leadership crisis.,https://indianexpress.com/article/india/rajasthan-government-phone-tapping-cbi-probe-6512614/,Controversy / reporting
2020-10-08,Phone tapping,Rajasthan,"Two months after Sachin Pilot camp alleged phone tapping, FIR against aide, journalist for ‘fake news’",Indian Express,Sachin Pilot camp; Rajasthan Police,Political/legal controversy,Police filed an FIR over alleged misleading reports related to phone tapping; controversy remained politically contested.,https://indianexpress.com/article/india/two-months-after-sachin-pilot-camp-alleged-tapping-fir-against-aide-journalist-for-fake-news-6711463/,Controversy / reporting
2020-11-25,Shivakumar,Karnataka,DK Shivakumar appears before CBI for interrogation in disproportionate assets case,Indian Express,D K Shivakumar,Investigation,CBI questioned Shivakumar in alleged Rs 74.93 crore disproportionate-assets case.,https://indianexpress.com/article/cities/bangalore/dk-shivakumar-appears-before-cbi-for-interrogation-on-disproportionate-assets-case-7066362/,Investigation / legal proceeding
2021-03-15,Phone tapping,Rajasthan,"Months after political crisis, Gehlot govt admits to phone taps",Indian Express,Ashok Gehlot government; Rajasthan political leaders,Phone interception controversy,Rajasthan government confirmed phones had been intercepted during the 2020 political crisis; legality and context remained contested.,https://indianexpress.com/article/india/rajasthan-congres-govt-ashok-gehlot-sachin-pilot-illegal-phone-taps-7228400/,Controversy / reporting
2021-03-18,Phone tapping,Rajasthan,"Explained: Rajasthan phone tapping case, and why the BJP wants CBI probe",Indian Express,Ashok Gehlot; Sachin Pilot; Rajasthan government,Investigation / political controversy,Explainer on the admitted interceptions and competing claims over legality and purpose.,https://indianexpress.com/article/explained/rajasthan-phone-tapping-case-ashok-gehlot-sachin-pilot-bjp-congress-7234046/,Investigation / legal proceeding
2022-01-29,REET paper leak,Rajasthan,REET paper leak: Rajasthan sacks school board chairman,Indian Express,Rajasthan Board officials; Ashok Gehlot government,Administrative action,State government sacked the board chairman and suspended officials after the leak investigation.,https://indianexpress.com/article/cities/jaipur/reet-paper-leak-rajasthan-sacks-school-board-chairman-7747677/,Controversy / reporting
2022-01-30,REET paper leak,Rajasthan,Explained: What is Rajasthan’s question paper leak scandal and how has the Gehlot govt reacted to REET irregularities?,Indian Express,Ashok Gehlot government; education officials,Exam leak / administrative controversy,Police investigation found the REET paper had leaked before the examination; officials were removed/suspended.,https://indianexpress.com/article/explained/rajasthan-question-paper-leak-scandal-gehlot-government-reaction7748253/,Controversy / reporting
2022-06-01,National Herald,National,"National Herald case: Appear on June 8, ED tells Sonia and Rahul Gandhi",Indian Express,Sonia Gandhi; Rahul Gandhi; Young Indian; AJL,Money-laundering probe / investigation,ED summons issued; Congress denied wrongdoing and called the case politically motivated.,https://indianexpress.com/article/india/ed-summons-sonia-gandhi-rahul-money-laundering-case-national-herald-7947091/,Investigation / legal proceeding
2022-06-17,National Herald,National,Explained: What are the ED and IT cases against Rahul and Sonia Gandhi?,Indian Express,Sonia Gandhi; Rahul Gandhi; Young Indian; AJL,Money-laundering / tax controversy,Explainer of allegations and procedural history; allegations were contested by the accused.,https://indianexpress.com/article/explained/rahul-sonia-gandhi-ed-case-explained-national-herald-newspaper-7975373/,Controversy / reporting
2022-07-11,National Herald,National,National Herald case: ED asks Sonia Gandhi to appear before it on July 21,Indian Express,Sonia Gandhi; Rahul Gandhi; Young Indian,Investigation,Further ED summons; Sonia later appeared for questioning.,https://indianexpress.com/article/india/ed-summons-sonia-gandhi-rahul-money-laundering-case-national-herald-8023012/,Investigation / legal proceeding
2022-08-18,INX/Aircel-Maxis,National,List of all the names: The ED casebook – during UPA (2004-2014) and NDA (2014-present),Indian Express,P Chidambaram; Karti Chidambaram,Investigations / chargesheets,ED/CBI case summary; allegations include improper approvals and kickbacks. Cases remained subject to court proceedings.,https://indianexpress.com/article/express-exclusive/full-list-ed-casebook-during-upa-and-nda-8162567/,Investigation / legal proceeding
2022-12-11,Coal levy,Chhattisgarh,"Chhattisgarh coal levy scam:152-crore assets attached in money laundering case, says ED",Indian Express,Saumya Chaurasia; Sameer Vishnoi; others,Asset attachment / investigation,ED attached assets worth about Rs 152.31 crore in the alleged coal-levy money-laundering case.,https://indianexpress.com/article/india/rs-152-crore-assets-attached-in-money-laundering-case-ed-8317765/,Investigation / legal proceeding
2023-02-02,Coal levy,Chhattisgarh,ED says ex-officer in Baghel office ‘link’ in coal levy scam; she denies,Indian Express,Saumya Chaurasia; Bhupesh Baghel office,Chargesheet / allegation,ED alleged the former CM-office official was a key link; she denied the allegations.,https://indianexpress.com/article/india/ex-officer-in-baghel-office-key-link-in-coal-levy-scam-took-crime-proceeds-ed-8418731/,Allegation / political claim
2023-02-20,Coal levy,Chhattisgarh,Coal levy ‘scam’: Why ED is searching places linked to Chhattisgarh Congress leaders,Indian Express,Congress leaders; bureaucrats; middlemen,ED investigation,ED alleged an illegal Rs 25/tonne levy and more than Rs 540 crore collected; allegations were contested by Congress.,https://indianexpress.com/article/explained/explained-politics/coal-levy-scam-why-ed-is-raiding-chhattisgarh-congress-leaders-8456730/,Investigation / legal proceeding
2023-03-29,Coal levy,Chhattisgarh,Chhattisgarh coal levy scam: ED raids Congress mayor’s premises in Raipur,Indian Express,Aijaz Dhebar; Congress leaders,ED search / investigation,ED searched premises linked to the Congress mayor in the ongoing alleged coal-levy case.,https://indianexpress.com/article/cities/city-others/chhattisgarh-coal-levy-scam-ed-raids-congress-mayors-premises-in-raipur-8525840/,Investigation / legal proceeding
2023-04-20,Vadra-DLF,Haryana,Recalling Robert Vadra-DLF land deal which BJP milked politically in 2014 — and which the party now says was clean,Indian Express,Robert Vadra; Skylight Hospitality; DLF,Land-deal controversy,Article notes later Haryana government position that the deal did not violate rules; political allegations persisted.,https://indianexpress.com/article/explained/explained-politics/robert-vadra-dlf-land-deal-haryana-8567319/,Controversy / reporting
2023-04-22,Shivakumar,Karnataka,Disproportionate assets case: Karnataka HC dismisses Congress leader D K Shivakumar’s appeal against CBI,Indian Express,D K Shivakumar,Investigation / court,Case concerned alleged disproportionate assets of about Rs 74.9 crore; HC dismissed an appeal concerning the investigation.,https://indianexpress.com/article/cities/bangalore/karnataka-hc-congress-dk-shivakumar-disproportionate-assets-case-8569931/,Investigation / legal proceeding
2023-06-22,Coal levy,Chhattisgarh,"Chhattisgarh’s coal levy scam: ED takes over attached properties, issues eviction notices",Indian Express,Accused in coal-levy case,Asset possession,ED took possession of 81 properties and issued eviction notices in the case.,https://indianexpress.com/article/india/chhattisgarhs-coal-scam-ed-issues-eviction-notices-8679575/,Controversy / reporting
2023-07-28,Coal levy,Chhattisgarh,"Newsmaker | Coal levy scam smudges Suryakant Tiwari, Chhattisgarh’s golden boy and friend-to-all",Indian Express,Suryakant Tiwari; officials; politicians,Investigation / allegations,Profile of alleged coal-levy network and political connections; allegations remained subject to proceedings.,https://indianexpress.com/article/political-pulse/coal-levy-scam-smudges-suryakant-tiwari-chhattisgarh-golden-boy-and-friend-to-all-8865393/,Allegation / political claim
2023-07-31,Coal levy,Chhattisgarh,"Under ED scanner for coal levy scam, Ram Gopal Agrawal, Chhattisgarh Cong’s backroom operator",Indian Express,Ram Gopal Agrawal; CPCC,ED search / investigation,ED raided the premises of the Chhattisgarh Pradesh Congress Committee treasurer.,https://indianexpress.com/article/political-pulse/under-ed-scanner-coal-levy-scam-ram-gopal-agrawal-chhattisgarh-congs-backroom-operator-8868868/lite/,Investigation / legal proceeding
2023-09-24,Coal levy,Chhattisgarh,2 MLAs among 4 Chhattisgarh Congress leaders served court notices in ED’s coal levy case,Indian Express,Devendra Yadav; Chandradev Rai; Vinod Tiwari; R P Singh,Court notice / investigation,Special court issued notices; ED alleged an illegal Rs 25/tonne levy and Rs 540 crore collected.,https://indianexpress.com/article/india/congress-leaders-court-notices-eds-coal-levy-case-8954216/,Investigation / legal proceeding
2023-11-21,National Herald,National,"National Herald case: ED seizes assets worth Rs 752 crore, Congress links it to polls",Indian Express,Young Indian; AJL; Sonia Gandhi; Rahul Gandhi,Asset attachment / money-laundering allegation,ED provisionally attached properties worth about Rs 751.9 crore; legal proceedings continued.,https://indianexpress.com/article/india/ed-attaches-assets-national-herald-case-9036643/,Allegation / political claim
2023-11-27,Shivakumar,Karnataka,"Decode politics: A Karnataka govt order, and what it means for D K Shivakumar",Indian Express,D K Shivakumar,Political/legal controversy,Congress-led Karnataka government withdrew the previous sanction for CBI investigation; legality was contested.,https://indianexpress.com/article/political-pulse/dk-shivakumar-cbi-case-karnataka-government-order-decode-politics-9043858/,Controversy / reporting
2024-01-26,Coal/liquor,Chhattisgarh,"Two Chhattisgarh ex-ministers among 8 Congress MLAs named in FIRs into coal levy, liquor scam cases",Indian Express,Amarjeet Bhagat; Kawasi Lakhma; six Congress MLAs,FIR / investigation,ACB registered FIRs based on ED complaints; allegations remained under investigation.,https://indianexpress.com/article/india/chhattisgarh-ex-ministers-congress-mlas-fir-coal-levy-liquor-scam-cases-9129576/,Investigation / legal proceeding
2024-03-05,Shivakumar,Karnataka,SC quashes 2018 money laundering case against Karnataka Deputy CM DK Shivakumar,Indian Express,D K Shivakumar,Case quashed,Supreme Court quashed the 2018 PMLA proceedings; important corrective to earlier allegations.,https://indianexpress.com/article/india/dk-shivakumar-supreme-court-corruption-case-9196491/,Court/agency outcome favourable to accused
2024-03-22,Shivakumar,Karnataka,"As SC rejects ED review plea in 2023 money laundering case, respite for Karnataka Deputy CM D K Shivakumar",Indian Express,D K Shivakumar,Court relief,Supreme Court rejected ED review; earlier PMLA proceedings had been quashed.,https://indianexpress.com/article/cities/bangalore/as-sc-rejects-ed-review-plea-in-2023-money-laundering-case-respite-for-karnataka-deputy-cm-d-k-shivakumar-9228303/lite/,Controversy / reporting
2024-04-11,National Herald,National,What is the ‘Adjudicating Authority’ that has confirmed ED’s attachment of Rahul-Sonia-promoted company’s assets?,Indian Express,Young Indian; AJL; Sonia Gandhi; Rahul Gandhi,Asset attachment,PMLA Adjudicating Authority confirmed attachment of assets worth Rs 751.9 crore; not a conviction.,https://indianexpress.com/article/explained/explained-law/adjudicating-authority-ed-attachment-rahul-sonia-company-assets-9264546/,Investigation / legal proceeding
2024-07-11,MUDA / Valmiki,Karnataka,Infighting: Neutral camp says scams denting Congress in Karnataka,Times of India,Siddaramaiah; B Nagendra; Congress leadership,Political controversy,Congress insiders reportedly urged action over alleged MUDA and Valmiki controversies.,https://timesofindia.indiatimes.com/city/bengaluru/infighting-neutral-camp-says-scams-denting-congress/articleshow/111664233.cms,Controversy / reporting
2024-07-12,Valmiki Corporation,Karnataka,Corporation officials were honey-trapped: BJP,Times of India,B Nagendra; corporation officials,Political allegation / investigation,"Opposition alleged diversion of tribal-welfare funds, including claims involving luxury purchases; allegations were investigated.",https://timesofindia.indiatimes.com/city/bengaluru/corporation-officials-were-honey-trapped-bjp/articleshow/111674616.cms,Allegation / political claim
2024-07-21,Valmiki Corporation,Karnataka,Scam: BJP accuses CM of shielding himself and Congress from scam,Times of India,B Nagendra; Basanagouda Daddal; Siddaramaiah,Political allegation / investigation,Opposition alleged an Rs 88-crore irregularity; government disputed responsibility and investigations followed.,https://timesofindia.indiatimes.com/city/bengaluru/bjp-accuses-cm-of-shielding-himself-and-congress-from-scam/articleshow/111893535.cms,Allegation / political claim
2024-09-11,Valmiki Corporation,Karnataka,ED: Karnataka ex-minister used scam funds for Telangana Congress campaign,Times of India,B Nagendra; aides; Congress campaign,ED chargesheet allegation,ED chargesheet alleged around Rs 20 crore was used in connection with liquor purchases during Telangana elections; allegations were contested.,https://timesofindia.indiatimes.com/city/bengaluru/ed-karnataka-ex-minister-used-scam-funds-for-telangana-congress-campaign/articleshow/113245280.cms,Allegation / political claim
2024-11-20,Aircel-Maxis,National,Delhi HC stays trial court proceedings against Chidambaram in Aircel-Maxis case,Indian Express,P Chidambaram,Court stay / investigation,Delhi High Court stayed trial-court proceedings pending challenge over prosecution sanction.,https://indianexpress.com/article/cities/delhi/delhi-hc-trial-court-proceedings-chidambaram-aircel-maxis-case-9679185/,Investigation / legal proceeding
2025-03-10,Liquor,Chhattisgarh,"Chhattisgarh Liquor Scam Case: ED Raids Former-CM Bhupesh Baghel Home, What is the Alleged Chhattisgarh Liquor Scam?",Indian Express,Bhupesh Baghel; Chaitanya Baghel; other accused,ED search / investigation,ED searched premises linked to former CM Baghel and his son in alleged liquor-scam investigation.,https://indianexpress.com/article/explained/ed-bhupesh-baghels-what-is-chhattisgarh-liquor-scam-9878572/,Investigation / legal proceeding
2025-04-15,National Herald,National,"National Herald case: ED chargesheets Congress leaders Sonia Gandhi, Rahul Gandhi",Indian Express,Sonia Gandhi; Rahul Gandhi; others,Chargesheet,ED filed a prosecution complaint/chargesheet; Congress called it political vendetta.,https://indianexpress.com/article/india/national-herald-case-ed-chargesheets-sonia-gandhi-rahul-9945837/,Investigation / legal proceeding
2025-04-15,Vadra-DLF,Haryana,ED summons Robert Vadra: All about the DLF land deal case in which he will be questioned,Indian Express,Robert Vadra; Skylight Hospitality,ED investigation,ED questioned Vadra over alleged irregularities; Vadra described the probe as political vendetta.,https://indianexpress.com/article/explained/robert-vadra-ed-summons-case-details-land-dlf-9945307/,Investigation / legal proceeding
2025-04-17,National Herald,National,"Explained: The National Herald case, and Rahul and Sonia Gandhi’s alleged involvement",Indian Express,Sonia Gandhi; Rahul Gandhi; Bhupinder Hooda; AJL,Chargesheet / investigation,Explains the Panchkula plot and alleged money-laundering links; allegations disputed.,https://indianexpress.com/article/explained/explained-the-national-herald-case-and-rahul-and-sonia-gandhi-alleged-involvement-9948432/,Investigation / legal proceeding
2025-05-21,National Herald,National,"Senior Congress leaders ‘conspired’ to ‘usurp’ properties worth Rs 2,000 crore: ED in National Herald money laundering case",Indian Express,Sonia Gandhi; Rahul Gandhi; Young Indian; AJL,Agency allegation,ED alleged a conspiracy involving AJL properties; court proceedings were ongoing.,https://indianexpress.com/article/cities/delhi/congress-leaders-conspired-usurp-properties-ed-national-herald-money-laundering-case-10019351/,Allegation / political claim
2025-07-02,National Herald,National,"National Herald case | Sonia, Rahul created Young Indian firm to siphon off Rs 2,000 cr from AJL: ED to court",Indian Express,Sonia Gandhi; Rahul Gandhi; Young Indian; AJL,Agency allegation,ED made the allegation in court; this is not itself a judicial finding of guilt.,https://indianexpress.com/article/india/sonial-rahul-gandhi-wanted-to-usurp-rs-2000-crore-ajl-company-ed-to-delhi-court-10102544/,Allegation / political claim
2025-07-03,National Herald,National,National Herald case | Congress created firm to launder money to avoid its direct name in news headlines: ED to court,Indian Express,Congress; Sonia Gandhi; Rahul Gandhi; Young Indian,Agency allegation,ED presented its allegations in court; Congress disputed the case.,https://indianexpress.com/article/cities/delhi/national-herald-case-congress-created-firm-launder-money-avoid-direct-name-ed-court-10104180/,Allegation / political claim
2025-07-17,Vadra land deal,Haryana,"ED chargesheet against Vadra, and the deep political connections of Onkareshwar Properties",Indian Express,Robert Vadra; Skylight Hospitality,Chargesheet,ED filed chargesheet in alleged money-laundering investigation involving a 3.53-acre plot.,https://indianexpress.com/article/explained/explained-politics/ed-chargesheet-against-vadra-and-the-deep-political-connections-of-onkareshwar-properties-10133213/,Investigation / legal proceeding
2025-07-17,Vadra land deal,Haryana,"Gurgaon land deal: ED names Robert Vadra in chargesheet, attaches 43 properties linked to him, others",Indian Express,Robert Vadra,Chargesheet / attachment,ED named Vadra as an accused and attached properties; Vadra's office denied wrongdoing.,https://indianexpress.com/article/cities/delhi/ed-files-chargesheet-against-robert-vadra-in-shikohpur-land-deal-case-10132540/,Investigation / legal proceeding
2025-10-09,Coal levy,Chhattisgarh,Personal assistant of former Chhattisgarh Congress treasurer chargesheeted in coal scam,Indian Express,Former Congress treasurer's aide; Ram Gopal Agrawal,Chargesheet,EOW/ACB filed chargesheet in alleged Rs 540-crore coal-levy case.,https://indianexpress.com/article/india/personal-assistant-of-former-chhattisgarh-congress-treasurer-chargesheeted-in-coal-scam-10295955/,Investigation / legal proceeding
2025-12-16,National Herald,National,Why Delhi court dismissed Enforcement Directorate complaint against Gandhis in National Herald case,Indian Express,Sonia Gandhi; Rahul Gandhi; ED,Court development,Delhi trial court dismissed/declined the ED complaint on maintainability/cognisance grounds; ED challenged the ruling.,https://indianexpress.com/article/legal-news/why-delhi-court-dismissed-enforcement-directorate-complaint-against-gandhis-in-national-herald-case-10423687/,Controversy / reporting
2025-12-22,National Herald,National,"National Herald case: Delhi HC seeks response of Rahul, Sonia Gandhi on ED’s plea challenging trial court’s order",Indian Express,Sonia Gandhi; Rahul Gandhi; ED,Appeal / ongoing litigation,Delhi High Court sought responses in ED's challenge to the trial court decision.,https://indianexpress.com/article/legal-news/national-herald-case-delhi-hc-response-rahul-sonia-gandhi-ed-10433105/,Controversy / reporting
2025-12-23,Liquor,Chhattisgarh,"Chaitanya, ex-CM Baghel’s son, received Rs 200–250 crore in liquor scam: police chargesheet",Indian Express,Chaitanya Baghel; Bhupesh Baghel,Chargesheet / allegation,"EOW/ACB alleged personal benefit of Rs 200–250 crore and a broader Rs 3,074-crore loss; allegations not equivalent to conviction.",https://indianexpress.com/article/india/bhupesh-baghels-son-chaitanya-received-rs-200-250-cr-in-liquor-scam-chargesheet-10433803/,Allegation / political claim
