headline,link,government_context,state,case_or_issue,year,conviction_status,source_type
Valmiki Corporation case: alleged ₹89.62 crore diversion,https://citizenherald.in/valmiki-corporation-scam-congress-high-command-involved-alleges-c-t-ravi/,Karnataka Congress government,Karnataka,Valmiki ST Corporation,2026,Allegations by opposition; FIR/SIT investigation reported; no conviction established,News
Karnataka MUDA case: Governor grants sanction against Siddaramaiah,https://indianexpress.com/article/cities/bangalore/karnataka-cm-siddaramaiah-prosecution-muda-land-scam-9518824/,Karnataka Congress government,Karnataka,MUDA Land,2024,Prosecution sanction/proceedings; no conviction established,News
Karnataka land denotification report under Siddaramaiah,https://indianexpress.com/article/political-pulse/corruption-charges-karnataka-bjp-digs-out-2017-report-on-siddaramaiah-govt-land-scam-8469255/,Karnataka Congress government,Karnataka,Arkavathy Layout Land,2017 report,Report/allegations; no conviction established,News
Karnataka Bitcoin/e-procurement controversy,https://indianexpress.com/article/cities/bangalore/hackers-karnataka-bitcoin-scandal-steal-rs-46-crore-state-e-governance-7623164/,Karnataka government period including Congress-era controversy,Karnataka,Bitcoin / E-Procurement,2021,Investigation/allegations; no political conviction established,News
Kerala Palmolein case: High Court legal record,https://indiankanoon.org/doc/158238136/,Kerala Congress-led UDF,Kerala,Palmolein Import,1990s,Criminal proceedings/legal record; no conviction established in cited order,Court
Kerala Palmolein case: Supreme Court legal record,https://indiankanoon.org/doc/310431/,Kerala Congress-led UDF,Kerala,Palmolein Import,1990s,Proceedings referenced; no conviction established in cited judgment,Court
Kerala bar bribery and Pattoor cases reopened,https://www.onmanorama.com/news/kerala/vigilance-bureau-probing-scams-during-chandy-tenure.html,Kerala Congress-led UDF,Kerala,Bar Bribery / Pattoor Land,2016+,Investigation/reopening; no conviction established,News
Kerala solar scam: former CM aide remanded,https://www.newindianexpress.com/states/kerala/2013/Jun/29/solar-scam-cms-ex-aide-remanded-to-judicial-custody-491820.html,Kerala Congress-led UDF,Kerala,Solar Scam,2013,Aide remanded; no conviction of Oommen Chandy established,News
Kerala solar scam: court gives Chandy clean chit in petition,https://www.indiatoday.in/india/south/story/court-gives-clean-chit-to-kerala-cm-chandy-in-solar-scam-214014-2013-10-10,Kerala Congress-led UDF,Kerala,Solar Scam,2013,Court found no evidence linking Chandy in cited petition,News
Maharashtra irrigation audit: CAG performance audit,https://cag.gov.in/en/audit-report/details/7132,Congress-NCP Maharashtra government period,Maharashtra,Irrigation Projects,2014,CAG audit findings; not a criminal conviction,CAG
Maharashtra irrigation outcomes: CAG performance audit,https://cag.gov.in/en/audit-report/details/117858,Maharashtra government period,Maharashtra,Surface Irrigation,2022,CAG audit findings; not a criminal conviction,CAG
Maharashtra Economic Sector CAG report including Gosikhurd irrigation project,https://cag.gov.in/en/audit-report/details/44246,Maharashtra government period,Maharashtra,Gosikhurd / Economic Sector,2018,CAG performance/compliance findings; not a criminal conviction,CAG
Maharashtra 2026 CAG compliance audit,https://cag.gov.in/en/audit-report/details/125459,Maharashtra government period,Maharashtra,Government Departments,2026,CAG compliance findings; not a criminal conviction,CAG
Arunachal former CM P K Thungon convicted in graft case,https://www.tribuneindia.com/news/archive/nation/former-union-minister-thungon-gets-jail-in-graft-case-202799/,Congress-linked former CM,Arunachal Pradesh,Government Shops Allocation,2016,Convicted; sentenced to 3.5 years,News
P K Thungon conviction in 1993-94 graft case,https://www.arunachaltimes.in/archives/mar16%2001.html,Congress-linked former CM,Arunachal Pradesh,Government Shops Allocation,2016,Convicted; sentenced to 3.5 years,News
MP Congress MLA Rajendra Bharti convicted in bank fraud case,https://www.newindianexpress.com/states/madhya-pradesh/2026/Apr/01/mp-congress-mla-rajendra-bharti-convicted-in-bank-fraud-case-sent-to-jail,Congress-linked political figure,Madhya Pradesh,Bank FD Fraud / Forgery,2026,Convicted; sentenced to jail,News
Haryana fungicide purchase scam FIR,https://www.hindustantimes.com/chandigarh/cbi-registers-case-in-haryana-fungicide-scam-during-congress-govt/story-SCoGDRwhwgz1Y8Ym0SbbFL.html,Haryana Congress government,Haryana,Fungicide Purchase,2014+,FIR/investigation; no conviction established,News
National Herald case explained,https://indianexpress.com/article/explained/explained-the-national-herald-case-and-rahul-and-sonia-gandhis-alleged-involvement-9948432/lite/,Congress / UPA context,India,National Herald / AJL,2010s+,Proceedings/allegations; no conviction established,Explainer
